GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TableLamp,com.mycompany,App,3,23,0,0,1,8,1,1,1,1
TableLamp,com.mycompany.button,Button,0,20,0,0,0,9,0,3,0,3
TableLamp,com.mycompany.pushdownbutton,PushdownButton,0,31,0,4,0,11,0,6,0,4
TableLamp,com.mycompany.lightbulb,Lightbulb,0,11,0,0,0,6,0,3,0,3
